gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description,
TNFRSF14,671.140957,2.158241706,0.105755821,1.42E-93,7.93E-92,8764,TNF receptor superfamily member 14,
RP11-799O21.1,269.5939469,-2.988426223,0.146913054,5.71E-93,3.18E-91,NA,NA,
PUS7,2447.0329,-1.343118259,0.0659758,6.84E-93,3.80E-91,54517,pseudouridine synthase 7,
DCLRE1B,768.4728066,-1.401808138,0.068890695,8.70E-93,4.82E-91,64858,DNA cross-link repair 1B,
MATK,462.8346983,3.02641176,0.149040927,9.57E-93,5.29E-91,4145,megakaryocyte-associated tyrosine kinase,
CDK2,3011.632785,-1.517205747,0.074617351,1.00E-92,5.52E-91,1017,cyclin dependent kinase 2,
RP1-186E20.2,378.5639666,-2.293799126,0.113010715,1.31E-92,7.22E-91,NA,NA,
RPA2,1740.43624,-1.218039651,0.059906718,1.45E-92,7.95E-91,6118,replication protein A2,
MAP3K12,1247.261252,1.341018434,0.066133387,3.96E-92,2.17E-90,7786,mitogen-activated protein kinase kinase kinase 12,
RBM28,3924.384812,-1.157491684,0.057074451,4.27E-92,2.34E-90,55131,RNA binding motif protein 28,
RRP1B,3789.133647,-1.404412238,0.069388814,7.43E-92,4.06E-90,23076,ribosomal RNA processing 1B,
TMEM158,1604.533672,-1.35842227,0.067153344,9.68E-92,5.28E-90,25907,transmembrane protein 158,
RPIA,1217.771082,-1.347132352,0.066625148,1.20E-91,6.53E-90,22934,ribose 5-phosphate isomerase A,
SF3A3,4969.415739,-1.03977549,0.051396955,1.56E-91,8.47E-90,10946,splicing factor 3a subunit 3,
PARP2,2368.735703,-1.336906291,0.066203741,1.95E-91,1.06E-89,10038,poly(ADP-ribose) polymerase 2,
POLD3,1359.407017,-1.475533547,0.073101954,2.22E-91,1.20E-89,10714,"DNA polymerase delta 3, accessory subunit",
CTPS1,3136.02153,-1.792266743,0.088876267,2.24E-91,1.21E-89,1503,CTP synthase 1,
WISP2,6491.979182,2.957091308,0.146921718,3.37E-91,1.81E-89,NA,NA,
C17orf53,390.1508946,-1.851931223,0.091956233,4.39E-91,2.35E-89,NA,NA,
MGME1,1692.18234,-1.266228524,0.062837264,5.45E-91,2.92E-89,92667,mitochondrial genome maintenance exonuclease 1,
MTBP,524.3992569,-1.7396776,0.086433052,5.72E-91,3.06E-89,27085,MDM2 binding protein,
NEU1,5539.394981,1.370914151,0.06806025,7.38E-91,3.93E-89,4758,neuraminidase 1,
AK2,4088.366052,-1.083661488,0.053872982,1.14E-90,6.07E-89,204,adenylate kinase 2,
ZBTB22,605.0787265,1.551028353,0.07720134,1.46E-90,7.76E-89,9278,zinc finger and BTB domain containing 22,
ZNF554,827.7187066,1.816459664,0.090571461,2.19E-90,1.16E-88,115196,zinc finger protein 554,
LAS1L,4687.722246,-1.180660854,0.058830222,3.15E-90,1.66E-88,81887,LAS1 like ribosome biogenesis factor,
ACP5,2599.116736,2.481759903,0.123971718,3.33E-90,1.75E-88,54,"acid phosphatase 5, tartrate resistant",
RORC,419.7215496,3.685428592,0.184142181,3.84E-90,2.02E-88,6097,RAR related orphan receptor C,
UBE2S,939.70414,-2.414803744,0.1207402,4.42E-90,2.32E-88,27338,ubiquitin conjugating enzyme E2 S,
NAT10,5470.747671,-1.166900084,0.058290359,4.47E-90,2.34E-88,55226,N-acetyltransferase 10,
CKAP2,1300.275361,-1.535816484,0.076931552,1.81E-89,9.45E-88,26586,cytoskeleton associated protein 2,
DTYMK,2179.608414,-1.796659976,0.090261809,4.18E-89,2.18E-87,1841,deoxythymidylate kinase,
USP13,1434.791094,-1.214238876,0.060925966,5.07E-89,2.64E-87,8975,ubiquitin specific peptidase 13,
CTD-2561J22.4,506.9236629,-1.90513986,0.095810653,6.79E-89,3.53E-87,NA,NA,
CTSO,746.4214307,1.889469921,0.095192398,1.37E-88,7.08E-87,1519,cathepsin O,
KLC4,976.0022808,1.446523175,0.072898173,2.17E-88,1.12E-86,89953,kinesin light chain 4,
COL13A1,550.6600063,-2.226530383,0.112437107,2.77E-88,1.43E-86,1305,collagen type XIII alpha 1 chain,
HSPD1,31851.38495,-1.088538014,0.054834541,2.77E-88,1.43E-86,3329,heat shock protein family D (Hsp60) member 1,
APLN,471.6410813,-2.367281057,0.119682194,4.02E-88,2.07E-86,8862,apelin,
TOE1,540.2818529,-1.642095479,0.083013309,6.05E-88,3.11E-86,114034,"target of EGR1, exonuclease",
SECTM1,1125.070211,2.716046967,0.137757874,1.33E-87,6.82E-86,6398,secreted and transmembrane 1,
TTLL3,518.7504324,1.775576434,0.089976438,1.48E-87,7.59E-86,26140,tubulin tyrosine ligase like 3,
E2F8,748.4233656,-2.529540578,0.128358605,1.82E-87,9.31E-86,79733,E2F transcription factor 8,
CREBRF,442.5357928,2.181215898,0.110686112,1.98E-87,1.01E-85,153222,CREB3 regulatory factor,
KIAA1462,3353.434816,-1.143691894,0.058107795,2.92E-87,1.49E-85,NA,NA,
CTD-2510F5.4,279.0047852,-2.661854818,0.135289403,3.30E-87,1.68E-85,NA,NA,
TOP1,6723.972494,-1.212609685,0.061580979,3.61E-87,1.83E-85,7150,DNA topoisomerase I,
CENPN,1575.465929,-1.912888464,0.097226203,3.62E-87,1.83E-85,55839,centromere protein N,
SRRT,6166.281712,-1.067752457,0.054193546,3.75E-87,1.89E-85,51593,"serrate, RNA effector molecule",
IMP4,4673.747582,-1.255712899,0.063737372,4.23E-87,2.13E-85,92856,IMP U3 small nucleolar ribonucleoprotein 4,
